Cihaz,Son 28 gün Tıklamalar,Önceki 28 gün Tıklamalar,Son 28 gün Gösterimler,Önceki 28 gün Gösterimler,Son 28 gün TO,Önceki 28 gün TO,Son 28 gün Pozisyon,Önceki 28 gün Pozisyon
Mobil,6,14,4195,14370,0.14%,0.1%,11.55,13.43
Masaüstü,0,8,9238,42319,0%,0.02%,36.41,34.34
Tablet,0,0,774,1811,0%,0%,15.01,15.36
